PlayerID,FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp,Year,Duplicate
MqfDK7,Conor,Doyle,DC,F,"60000.0","61250.0",2015,H3IHUN5K
MqfDK7,Conor,Doyle,COL,F,"66000.0","67250.0",2016,lQGuFT0H
Guq5sf,Kevin,Doyle,COL,F,"1125000.0","1170000.0",2015,VHr9RTrp
Guq5sf,Kevin,Doyle,COL,F,"1075000.0","1120000.0",2016,6KTljApu
Guq5sf,Kevin,Doyle,COL,F,"1000000.0","1045000.0",2017,zphSpUbA
JawXkV,Ben,Dragavon,MLS,GK,"34000.0","34000.0",2009,YMDLI0Mx
YFUU8M,Issiar,Drame,RBNY,D,"81375.00","97158.00",2021,uwpNgy43
3SnbB8,Anders,Dreyer,SD,F,"2117647.00","2434314.00",2025 Sp,EFgDmlzi
U93siy,Sebastian,Driussi,ATX,F,"2571420.00","2688420.00",2021,d7nYAMJh
U93siy,Sebastian,Driussi,ATX,F,"2200000.00","2317000.00",2022,0DM9NNBT
U93siy,Sebastian,Driussi,ATX,M-F,"3800000.00","6022500.00",2023,vEezo0FJ
U93siy,Sebastian,Driussi,ATX,M,"4500000.00","6722500.00",2024,EbSF7532
Pn67eU,Andrew,Driver,HOU,M,"95000.0","95000.0",2013,MQ5w3aeG
Pn67eU,Andrew,Driver,HOU,M,"130000.0","144583.33",2014,DnBnyQGf
z85apn,Didier,Drogba,MTL,F,"1666668.0","2166668.0",2015,FhQJlny8
z85apn,Didier,Drogba,MTL,F,"1666667.0","2166667.0",2016,ue64sjxz
YFvg7t,Manu,Duah,SD,D,"80622.00","84622.00",2025 Sp,gEHOsWqJ
Yp3H27,Kheli,Dube,NE,F,"90000.0","99000.0",2011,OvRAR5aI
NhI6Cg,Mkhokheli,Dube,NE,F,"17700.0","17700.0",2008,vNVhvsx6
NhI6Cg,Mkhokheli,Dube,NE,F,"34650.0","34650.0",2009,CNh4DJBx
NhI6Cg,Mkhokheli,Dube,NE,F,"80000.0","89000.0",2010,u0gDVnjr
nNfJHS,Nicolas,Dubersarsky,ATX,M,"275000.00","297986.00",2025 Sp,xbNM2PoE
giN8bg,Bilal,Duckett,VAN,D,"32600.0","32600.0",2011,Q6FQmqzb
giN8bg,Bilal,Duckett,NE,D,"35125.0","35125.0",2013,CA3Tauhh
jcxLVr,Emiliano,Dudar,DC,D,"225000.0","238333.33",2012,shZBipMD
